id,count,excerptpostid
1579,59,81363
1580,3,-1
1581,4,80681
1582,27,64367
1585,103,65303
1587,19,64871
1590,16,64946
1591,2,65076
1592,29,69057
1593,6,64995
1594,7,-1
1596,4,-1
1597,36,66452
1599,32,68668
1600,4,-1
1601,2,81232
1602,2,80667
1603,2,67809
1604,1,67110
1605,1,67217
1607,3,-1
1609,2,-1
1610,4,-1
1611,27,76604
1613,6,80669
1614,6,-1
1615,2,-1
1616,50,68561
1619,24,79198
1620,4,99045
1623,2,68981
1624,1,68979
1625,21,69044
1626,2,69079
1627,16,-1
1628,42,69199
1629,1,73839
1634,34,69680
1637,5,71400
1638,34,-1
1640,5,74455
1643,6,71181
1644,8,-1
1645,6,-1
1646,2,81234
1647,2,71821
1648,63,-1
1649,18,-1
1651,13,-1
1653,7,73934
1654,22,74428
1656,170,99539
1658,14,74430
1659,4,72984
1660,43,74457
1661,1,73890
1662,1,73443
1663,26,-1
1664,2,-1
1665,3,-1
1666,26,-1
1668,2,-1
1670,1,79672
1671,3,-1
1672,47,-1
1673,10,80661
1674,22,-1
1676,1,80766
1677,3,80665
1678,1,80663
1679,29,-1
1681,5,-1
1684,7,80673
1689,3,-1
1696,2,-1
1697,5,-1
1698,3,-1
1699,7,-1
1701,27,-1
1703,18,-1
1704,5,-1
1706,3,-1
1707,4,-1
1708,1,85832
1710,5,85829
1712,3,-1
1713,4,82619
1714,7,-1
1716,2,-1
1718,2,85823
1719,7,-1
1720,8,-1
1721,1,86337
1723,5,86549
1724,20,86507
1726,8,-1
1728,2,-1
1733,25,-1
1735,30,88969
1736,19,-1
1738,3,-1
1739,2,-1
1740,4,-1
1744,1,-1
1745,5,-1
1746,3,-1
1748,9,-1
1750,1,-1
1752,5,-1
1753,2,-1
1754,5,-1
1757,1,-1
1758,7,-1
1759,8,93050
1760,2,-1
1761,11,-1
1763,9,93739
1764,3,-1
1765,5,-1
1766,6,-1
1768,3,-1
1769,8,-1
1770,1,-1
1772,8,-1
1773,9,96235
1775,9,96219
1777,31,-1
1779,4,-1
1780,4,-1
1783,15,104826
1784,5,97865
1785,1,-1
1786,3,-1
1787,3,99142
1788,1,-1
1789,1,-1
1790,1,-1
1791,1,100217
1792,1,-1
1793,2,-1
1794,1,-1
1795,2,-1
1796,11,-1
1797,4,-1
1798,7,-1
1800,1,102938
1801,4,-1
1802,1,-1
1803,1,-1
1804,2,-1
1806,2,-1
1809,6,-1
1810,10,109442
1812,6,-1
1813,1,-1
1814,1,-1
1815,1,-1
1818,1,-1
1819,3,107659
1820,27,107801
1822,5,108053
1825,1,-1
1826,2,-1
1828,1,-1
1829,3,109367
1830,2,-1
1831,2,-1
1835,1,-1
1836,1,-1
1837,1,-1
1839,4,111165
1841,1,-1
1842,3,-1
1843,1,-1
1844,1,-1
1845,1,-1
1847,1,-1
1848,1,-1
1849,1,112069
1850,1,112071
1851,2,-1
1852,1,-1
1853,4,-1
1854,1,-1
1855,1,-1
1856,1,-1
1857,1,-1
1858,2,-1
1859,3,114058
1860,1,-1
1861,2,-1
1862,1,-1
1863,2,-1
1864,1,-1
1865,1,-1
1866,1,-1
1867,1,-1
1868,1,-1
1869,1,-1
