id,posttypeid,creationdate,score,viewcount,owneruserid,answercount,commentcount,favoritecount,lasteditoruserid
82570,2,1389923162,0,-1,8511,-1,0,-1,-2
11433,1,1306915039,1,218,1763,1,2,-1,88
51600,2,1362643744,1,-1,5739,-1,0,-1,-2
80300,2,1387598509,4,-1,16049,-1,3,-1,16049
52572,1,1363565972,2,87,22151,2,1,-1,919
108927,1,1406038786,0,19,14826,0,3,-1,-2
30223,1,1337319073,1,385,12142,1,3,-1,88
100205,2,1401175981,0,-1,46245,-1,1,-1,-2
97086,1,1399627522,3,170,45289,1,1,-1,930
62908,2,1372486426,12,-1,4505,-1,0,-1,4505
88306,2,1393580983,1,-1,8451,-1,6,-1,8451
95245,1,1398438073,0,16,42668,0,0,-1,-2
37524,2,1347969057,6,-1,8993,-1,2,-1,-2
32409,1,1342439585,4,86,12275,1,2,1,12275
88908,1,1394004028,0,22,35053,1,0,-1,-2
55637,2,1365522772,4,-1,8013,-1,0,-1,-2
77267,1,1385025230,0,71,35127,0,6,-1,32157
41477,1,1351540909,1,101,16375,0,2,-1,88
104859,1,1403760685,0,37,49043,0,3,-1,7290
60707,2,1370212007,2,-1,24498,-1,7,-1,-2
8097,2,1299672669,0,-1,3489,-1,0,-1,3489
51995,2,1363063466,3,-1,805,-1,0,-1,-2
115317,2,1410540691,2,-1,805,-1,6,-1,805
9450,2,1302533034,1,-1,3911,-1,0,-1,3911
27585,2,1335966222,1,-1,5739,-1,1,-1,-2
65806,2,1374977397,1,-1,22047,-1,0,-1,-2
60013,1,1369466005,8,164,26115,1,0,3,26115
67922,2,1377006254,1,-1,686,-1,3,-1,17230
13382,1,1311322311,5,952,5471,1,1,1,4856
81777,1,1389286394,0,25,4541,0,1,-1,-2
3299,2,1286167523,3,-1,1124,-1,0,-1,1124
76623,1,1384448406,1,141,34817,2,1,-1,-2
265,2,1279591548,14,-1,88,-1,0,-1,88
12590,1,1309439771,5,351,2916,0,3,-1,88
104700,2,1403671617,1,-1,28740,-1,4,-1,28740
89087,2,1394117683,1,-1,28666,-1,12,-1,28666
80367,5,1387711200,0,-1,26338,-1,0,-1,26338
60394,1,1369840159,0,133,26283,1,5,-1,919
90536,1,1395191286,0,97,24581,0,3,0,-2
110192,1,1406808731,1,89,53200,0,2,-1,-2
78820,1,1386349188,1,41,17304,1,4,-1,17304
60037,1,1369505957,0,46,12329,0,3,-1,-2
53359,1,1364291866,1,46,22287,0,0,-1,-2
94717,2,1398154111,0,-1,44063,-1,0,-1,-2
104426,1,1403510788,3,88,45005,1,3,3,-2
2289,2,1283344960,5,-1,919,-1,0,-1,-2
113108,1,1408905899,2,88,36676,2,4,1,36676
70471,2,1379557310,3,-1,686,-1,4,-1,-2
100500,1,1401346398,0,43,46384,0,4,-1,-2
73777,1,1382687773,0,109,31919,1,1,-1,7290
76631,5,1384453074,0,-1,7290,-1,0,-1,7290
70497,2,1379574489,3,-1,30395,-1,0,-1,-2
91387,2,1395372748,0,-1,26909,-1,0,-1,-2
106221,2,1404806741,0,-1,49085,-1,0,-1,-2
94873,1,1398235473,1,48,39770,1,0,-1,-2
95801,2,1398826912,1,-1,686,-1,0,-1,-2
66918,2,1376017127,0,-1,887,-1,2,-1,887
84105,2,1391253457,1,-1,4505,-1,0,-1,-2
90824,2,1395361111,3,-1,36771,-1,2,-1,-2
108845,1,1406007089,0,14,52468,0,0,-1,-2
108832,1,1406000047,0,31,52526,0,2,-1,52526
37361,2,1347708060,2,-1,11030,-1,0,-1,11030
52825,1,1363764779,4,1774,22289,2,2,1,88
44564,1,1354037957,1,627,7188,1,2,1,7188
65506,1,1374683991,1,81,28440,0,0,-1,-2
115364,1,1410609017,0,11,52858,0,3,-1,52858
80201,1,1387487882,0,126,17017,0,0,-1,-2
39177,1,1349911414,14,382,14730,3,5,3,686
33788,1,1344250944,0,63,13007,1,2,-1,-2
72179,1,1381150253,1,124,31197,1,9,-1,0
47454,1,1357815698,6,84,18551,1,3,-1,919
38428,2,1349099785,0,-1,1329,-1,0,-1,1329
99079,2,1400311861,2,-1,4598,-1,2,-1,-2
92396,2,1396501141,4,-1,41011,-1,5,-1,805
2693,2,1284554701,3,-1,401,-1,0,-1,-2
32555,2,1342593541,1,-1,279,-1,1,-1,-2
1286,1,1280955286,4,3092,196,2,7,1,196
103993,2,1403152755,5,-1,9330,-1,6,-1,9330
82034,1,1389532955,0,23,37230,0,1,-1,-2
91257,2,1395705226,0,-1,32036,-1,0,-1,-2
87466,1,1392994101,1,105,21958,1,3,-1,21958
82018,1,1389521582,3,162,37224,1,1,-1,-2
109391,2,1406284535,1,-1,52432,-1,2,-1,-2
31690,1,1341472531,3,3889,8783,1,3,3,4856
83297,1,1390603952,0,26,37877,0,0,-1,-2
6555,2,1295971552,2,-1,2392,-1,3,-1,-2
25168,2,1332504232,3,-1,9975,-1,1,-1,-2
59173,2,1368653717,15,-1,183,-1,5,-1,183
775,1,1280207694,9,1423,460,4,0,1,88
21329,1,1326953923,1,97,8469,1,0,-1,449
70968,1,1380044018,0,53,21961,1,0,-1,-2
34081,1,1344594186,3,131,13211,2,0,-1,919
69279,2,1378347465,11,-1,22047,-1,4,-1,-2
99853,2,1400838973,2,-1,25392,-1,5,-1,-2
45826,1,1355358021,3,130,-2,1,2,-1,919
108087,2,1405429281,1,-1,48148,-1,2,-1,-2
83763,1,1390979071,1,61,38184,0,0,-1,930
113462,1,1409129020,0,38,44425,0,4,-1,44425
104430,2,1403512903,1,-1,37148,-1,8,-1,37148
114714,2,1410161177,0,-1,3382,-1,4,-1,-2
101070,1,1401819696,4,65,39997,0,3,1,-2
29406,1,1338283360,6,124,11549,4,2,1,7290
82578,1,1389927218,2,184,30755,1,0,-1,30755
58853,1,1368417873,1,117,6281,1,0,-1,88
5361,2,1291979102,11,-1,919,-1,4,-1,-2
52710,1,1363679220,2,282,16362,2,4,-1,88
14295,1,1313394055,1,279,5839,2,3,-1,5839
112852,2,1408633264,0,-1,21967,-1,0,-1,-2
103781,1,1403027050,2,83,28309,2,3,-1,28309
16219,1,1317268721,3,634,253,2,0,1,3277
87236,1,1392828990,4,91,40583,1,1,1,-2
112494,2,1408439745,0,-1,54300,-1,2,-1,54300
52246,1,1363268817,2,39,20820,1,1,-1,-2
109212,1,1406182569,0,24,52723,1,2,-1,-2
74254,1,1383204782,4,132,20980,1,0,4,20980
35429,1,1346394952,2,846,13702,2,2,-1,686
43168,1,1352373078,4,516,11405,2,0,2,-2
11499,2,1307020605,3,-1,1583,-1,4,-1,1583
23794,1,1330402559,-1,107,2783,2,2,-1,-2
11963,1,1308157793,1,67,5039,0,1,-1,-2
12517,1,1309430783,4,3407,3591,1,5,-1,930
56053,2,1365886699,1,-1,8535,-1,2,-1,-2
81576,1,1389142537,1,233,22062,2,0,3,30201
96721,2,1399428917,0,-1,21958,-1,3,-1,21958
104271,1,1403374516,1,68,48259,1,2,-1,805
43206,1,1352420041,1,1002,14803,1,0,2,7290
4978,1,1290921138,12,1096,2171,3,0,12,-2
80021,2,1387348641,0,-1,35572,-1,4,-1,35572
80266,2,1387539865,0,-1,36381,-1,2,-1,-2
10199,2,1304213305,3,-1,1909,-1,0,-1,-2
87759,1,1393276369,3,66,40761,1,2,2,40761
80097,1,1387398869,0,30,36407,0,1,-1,-2
83013,2,1390369153,0,-1,37188,-1,2,-1,37188
109215,1,1406183965,0,61,44862,0,1,-1,44862
4404,2,1289389812,2,-1,71,-1,3,-1,-2
76729,1,1384576522,0,28,34857,0,0,-1,34857
59321,2,1368782175,1,-1,24617,-1,3,-1,-2
47861,2,1358317864,1,-1,17636,-1,0,-1,-2
105405,1,1404191347,0,39,44969,0,9,-1,44969
101224,2,1401908745,2,-1,7290,-1,4,-1,-2
101323,2,1401958463,3,-1,44269,-1,3,-1,44269
69606,1,1378736221,4,93,17661,1,6,1,88
62928,1,1372515921,4,52,8686,0,2,-1,8686
114673,2,1410135111,0,-1,7828,-1,0,-1,-2
100909,2,1401702902,3,-1,39953,-1,2,-1,-2
13314,1,1311165175,106,8688,1106,6,3,89,17230
39089,2,1349833807,3,-1,5829,-1,0,-1,-2
64610,2,1374046865,2,-1,7616,-1,0,-1,-2
91050,1,1395551245,0,54,41650,1,2,-1,-2
45290,2,1354782340,1,-1,3601,-1,1,-1,-2
95382,1,1398572765,1,12,44536,0,1,-1,-2
109025,2,1406093885,1,-1,4253,-1,1,-1,-2
99549,1,1400654116,0,24,45266,0,1,-1,45266
27945,1,1336363096,2,114,4843,1,2,-1,4843
88500,2,1393769067,3,-1,7290,-1,0,-1,-2
57680,2,1367288481,1,-1,21062,-1,0,-1,-2
68387,1,1377535742,0,42,29137,0,2,-1,-2
60479,2,1369921614,1,-1,4505,-1,0,-1,-2
30479,2,1339678060,2,-1,11032,-1,0,-1,-2
1383,1,1281124046,0,429,799,2,3,-1,8
57221,2,1366868639,3,-1,805,-1,0,-1,-2
86974,1,1392676301,1,45,40466,0,7,-1,40466
70140,1,1379312608,2,176,11061,1,3,-1,-2
48470,1,1359035927,3,338,20053,2,0,-1,3826
57199,1,1366859641,1,16,24822,0,0,-1,-2
107839,2,1405293819,2,-1,23853,-1,0,-1,-2
56597,2,1366339304,6,-1,24551,-1,2,-1,-2
30167,2,1339271849,2,-1,2669,-1,5,-1,-2
43712,2,1353007941,1,-1,6973,-1,0,-1,-2
62885,4,1372460080,0,-1,805,-1,0,-1,805
13514,2,1311679813,3,-1,4505,-1,0,-1,-2
40427,1,1350264876,-2,614,13957,1,2,-1,686
27226,2,1335486859,0,-1,966,-1,0,-1,966
74026,1,1383017849,1,40,31991,1,0,-1,-2
111108,1,1407414427,2,104,45770,2,2,-1,45770
106405,1,1404922607,0,40,28082,1,4,-1,-2
88261,1,1393565712,0,36,36898,0,0,-1,88
90367,2,1395073349,3,-1,40608,-1,1,-1,40608
67692,2,1376833698,3,-1,686,-1,2,-1,-2
19314,1,1322967517,1,947,6489,1,2,2,-2
4712,2,1290131392,19,-1,199,-1,1,-1,-2
46111,2,1355746803,2,-1,686,-1,4,-1,-2
59536,1,1369038183,2,145,18303,1,1,-1,6029
18699,1,1321839235,6,402,2942,2,4,2,2942
31724,1,1341489832,3,793,3310,2,0,2,930
60109,1,1369620189,11,351,6884,1,4,1,7290
49037,1,1359657452,2,156,16319,1,5,-1,16319
45806,2,1355329046,2,-1,5836,-1,8,-1,-2
51616,1,1362647501,0,144,21688,0,5,-1,-2
21807,1,1327639383,5,891,8114,3,2,2,1573
63148,2,1372750782,1,-1,183,-1,0,-1,-2
40426,1,1350263918,2,222,15945,0,4,-1,15945
62516,2,1372108950,6,-1,805,-1,7,-1,-2
71026,1,1380092555,3,825,26579,1,3,1,26579
26381,1,1334237819,1,168,7255,0,0,-1,-2
110358,1,1406931241,2,56,52874,2,0,-1,-2
100405,1,1401286548,0,64,39531,1,0,-1,39531
108934,1,1406041201,0,44,52581,1,3,-1,32036
21141,1,1326657039,8,659,6633,1,1,3,-2
79949,1,1387279377,4,77,36343,2,0,1,919
68205,1,1377272164,1,1957,17072,2,4,-1,17230
27988,1,1336413968,1,808,10266,1,0,-1,88
1246,2,1280908511,5,-1,279,-1,0,-1,-2
94870,2,1398232448,1,-1,44324,-1,0,-1,-2
65672,2,1374830219,0,-1,28508,-1,2,-1,-2
74660,2,1383644329,2,-1,31668,-1,4,-1,-2
2752,2,1284642609,3,-1,930,-1,1,-1,-2
67504,1,1376558355,0,198,28983,1,1,-1,22047
55569,1,1365472915,0,113,24096,0,3,1,21599
68802,1,1377862922,3,91,29640,0,1,-1,7290
57270,1,1366890175,3,164,14803,2,0,1,14803
31327,1,1340904917,0,20,12289,0,2,-1,-2
57213,1,1366866602,5,1161,10776,4,3,-1,10776
85827,2,1391781257,2,-1,36381,-1,0,-1,36381
27210,1,1335469573,4,364,7169,3,4,1,7169
73406,1,1380709895,1,139,-2,1,4,-1,-2
59240,1,1368708241,3,273,25754,1,0,-1,183
70560,2,1379615769,5,-1,601,-1,6,-1,601
105996,2,1404657010,2,-1,22468,-1,3,-1,22468
93252,2,1397057152,1,-1,7071,-1,0,-1,7071
48203,2,1358764092,1,-1,14188,-1,1,-1,-2
71436,2,1380474606,1,-1,2942,-1,3,-1,2942
103019,1,1402474893,2,59,48196,2,1,-1,48196
1205,1,1280847408,4,3157,366,1,2,1,-2
115181,1,1410446532,0,10,46789,0,0,-1,-2
77919,1,1385587477,3,160,29600,1,0,0,88
23058,2,1329482088,2,-1,8013,-1,4,-1,-2
99260,1,1400477484,1,38,741,1,0,-1,-2
14118,1,1312981195,4,7773,25133,2,3,5,25133
74670,1,1383650436,1,49,32359,1,0,-1,2116
113408,1,1409114189,1,30,40606,1,0,-1,-2
89741,1,1394602971,4,543,1005,2,0,1,183
105855,1,1404498832,1,57,49538,1,0,-1,-2
35146,1,1346000000,1,81,13002,0,2,-1,2116
77492,2,1385228521,3,-1,29187,-1,0,-1,-2
114541,2,1409992227,5,-1,44269,-1,15,-1,44269
35167,2,1346049999,0,-1,11032,-1,0,-1,-2
35229,2,1346118214,5,-1,11981,-1,0,-1,-2
92309,2,1396445314,1,-1,10930,-1,2,-1,-2
102736,2,1402320404,2,-1,11887,-1,0,-1,-2
2063,2,1282601214,0,-1,401,-1,0,-1,-2
72049,1,1381021775,4,164,31133,2,1,-1,7290
84172,2,1391328246,1,-1,7250,-1,0,-1,-2
34418,1,1345062127,5,504,996,2,1,1,919
33461,2,1343781421,4,-1,12265,-1,1,-1,17230
16163,2,1317189114,1,-1,5862,-1,3,-1,5862
80907,1,1388416372,1,59,36738,1,5,-1,22047
4539,1,1289787835,4,5994,588,3,0,-1,449
36034,1,1347263752,5,132,12411,2,0,1,11032
49395,1,1360090593,8,296,20541,5,7,2,930
8822,2,1301175570,3,-1,2958,-1,0,-1,930
74430,4,1383409090,0,-1,686,-1,0,-1,22468
108325,2,1405584912,0,-1,49130,-1,0,-1,49130
104887,2,1403769696,1,-1,49064,-1,1,-1,-2
11548,1,1307130245,4,560,4875,3,1,1,183
10218,2,1304263182,3,-1,4360,-1,2,-1,4360
14774,1,1314187176,15,360,5969,3,6,1,2116
26176,1,1334028596,30,7077,10028,1,9,17,2970
101405,1,1402014688,1,18,46848,0,2,1,-2
58928,1,1368456526,3,222,8807,1,0,1,6029
70451,1,1379536347,1,55,30459,1,1,-1,6029
89716,1,1394591190,2,86,8692,0,0,2,-2
17612,2,1319673273,6,-1,4257,-1,1,-1,-2
94123,2,1397707419,3,-1,686,-1,3,-1,-2
50961,1,1361954355,1,180,21067,0,5,-1,21067
56841,2,1366595511,3,-1,17230,-1,1,-1,17230
19362,2,1323046930,0,-1,6412,-1,0,-1,2116
65183,1,1374498823,3,75,28339,0,0,1,-2
87548,1,1393096670,0,29,36540,0,0,-1,88
40740,2,1350621513,1,-1,14857,-1,2,-1,-2
1738,2,1281937324,8,-1,279,-1,0,-1,-2
45458,2,1354986589,0,-1,14188,-1,0,-1,14188
60839,1,1370320421,2,168,26481,1,2,-1,22311
30995,1,1340443302,10,4120,12172,2,5,1,7290
73471,2,1382420176,0,-1,31789,-1,0,-1,8413
45438,2,1354963510,1,-1,892,-1,1,-1,-2
11269,2,1306370639,3,-1,253,-1,0,-1,-2
79182,1,1386642079,0,33,35958,0,0,-1,19879
935,2,1280313369,1,-1,39,-1,1,-1,39
82378,2,1389777796,10,-1,22047,-1,3,-1,22047
64869,1,1374227083,2,87,9424,0,7,1,22047
30005,1,1339064136,1,305,4705,1,0,-1,4705
104638,1,1403629359,0,27,44513,0,0,-1,-2
10364,2,1304590160,0,-1,3805,-1,1,-1,-2
54466,2,1364377868,1,-1,17072,-1,0,-1,-2
76923,1,1384776991,0,24,34974,0,5,-1,34974
99191,2,1400424210,50,-1,22311,-1,0,-1,22311
62193,1,1371702060,2,60,27112,0,6,-1,27112
68935,1,1378044578,0,73,29737,1,1,-1,-2
45227,2,1354715581,3,-1,805,-1,2,-1,805
108809,2,1405982860,0,-1,24808,-1,0,-1,24808
32285,1,1342243704,6,1701,12492,1,0,9,7290
64691,1,1374115610,1,80,26267,0,4,-1,26267
71968,2,1380932107,3,-1,20776,-1,2,-1,20776
31641,1,1341396499,1,1607,12409,1,1,-1,4856
105611,1,1404324777,6,372,40785,6,4,-1,17230
31349,2,1340934027,2,-1,11663,-1,0,-1,11663
29715,2,1338673040,33,-1,4856,-1,1,-1,4856
63843,2,1373378301,3,-1,25936,-1,0,-1,-2
43395,2,1352682239,6,-1,4598,-1,5,-1,4598
48921,1,1359545445,2,993,20287,2,1,1,27581
110872,1,1407302558,0,15,53541,0,0,-1,-2
54958,2,1364875551,3,-1,21846,-1,0,-1,21846
59060,2,1368556649,2,-1,24617,-1,1,-1,24617
65254,2,1374555237,1,-1,686,-1,3,-1,-2
23858,1,1330480504,2,499,9507,1,0,-1,264
21736,1,1327512130,1,555,5546,1,7,1,-2
111097,1,1407410968,2,83,17428,1,0,-1,32036
99790,1,1400802782,2,62,12710,1,0,-1,28740
27234,2,1335504711,1,-1,4843,-1,1,-1,4843
114025,2,1409603205,5,-1,1569,-1,0,-1,-2
59655,1,1369132407,1,26,5597,0,0,-1,-2
74320,1,1383287427,1,126,32184,0,3,-1,-2
74266,2,1383209447,1,-1,7290,-1,0,-1,-2
60071,2,1369561535,2,-1,686,-1,9,-1,-2
43361,1,1352637926,1,1500,16337,0,0,-1,16337
92894,2,1396862088,2,-1,43183,-1,3,-1,-2
28958,2,1337691630,3,-1,253,-1,3,-1,-2
64010,1,1373509891,4,419,13254,1,6,-1,22311
92447,2,1396519627,3,-1,38160,-1,0,-1,38160
73290,1,1382248895,0,78,31563,1,2,-1,7290
68755,2,1377828189,1,-1,28903,-1,0,-1,28903
41297,1,1351311560,3,1349,8116,1,1,-1,686
78378,2,1386013333,2,-1,28566,-1,3,-1,-2
60249,1,1368820930,1,36,25805,0,2,-1,-2
70197,2,1379344931,8,-1,-2,-1,0,-1,-2
100512,1,1401354212,2,37,37613,2,3,-1,37613
52112,2,1363161063,1,-1,11867,-1,1,-1,-2
102632,1,1402257178,2,182,46504,1,0,-1,32036
92708,2,1396744375,0,-1,38427,-1,0,-1,-2
43031,1,1352251107,1,101,16600,3,3,-1,-2
39125,1,1349862548,1,185,14834,0,8,-1,686
93874,1,1397543688,2,94,29183,2,4,0,-2
103633,1,1402949552,0,49,48142,0,0,-1,-2
90055,1,1394795402,5,62,13634,0,0,-1,-2
7574,2,1298532823,3,-1,1670,-1,3,-1,1670
88903,1,1394002149,0,24,36163,0,0,-1,-2
77751,2,1385458133,1,-1,35347,-1,0,-1,-2
50955,2,1361951878,1,-1,21334,-1,0,-1,-2
63151,2,1372751881,4,-1,6029,-1,2,-1,6029
72831,2,1381808311,3,-1,24905,-1,3,-1,24905
15617,2,1316099867,0,-1,3874,-1,0,-1,-2
81155,1,1388749077,0,394,21793,1,1,-1,-2
45168,1,1354666384,1,69,17497,0,2,-1,-2
115184,1,1410448723,1,17,7616,0,3,-1,-2
109729,1,1406540648,1,49,52965,0,2,-1,52965
1081,1,1280618163,3,556,144,1,2,1,930
89527,2,1394457106,1,-1,1739,-1,1,-1,1739
106075,1,1404719455,2,73,26967,2,3,-1,-2
107801,4,1405242527,0,-1,26338,-1,0,-1,26338
88318,2,1393591302,0,-1,41125,-1,0,-1,-2
13397,2,1311346629,1,-1,2669,-1,2,-1,-2
10003,1,1303819758,10,234,2750,1,4,-1,2750
90878,2,1395384808,1,-1,14076,-1,0,-1,-2
21452,2,1327126295,4,-1,8076,-1,2,-1,8076
93471,2,1397204536,1,-1,1329,-1,1,-1,-2
26317,2,1334159241,9,-1,5739,-1,1,-1,-2
99274,1,1400481957,6,213,30201,1,4,1,30201
55372,2,1365288143,1,-1,24000,-1,0,-1,24000
104515,2,1403571430,2,-1,11522,-1,0,-1,-2
18367,1,1321268041,2,150,7371,0,0,-1,7371
50499,1,1361404940,1,75,16242,0,4,-1,919
1797,1,1282043732,11,1560,601,2,2,5,-2
67709,1,1376845261,1,46,27881,1,6,-1,-2
55914,2,1365723948,1,-1,9738,-1,0,-1,9738
69852,2,1378962158,0,-1,12005,-1,2,-1,-2
50397,1,1361341405,1,100,13935,1,5,-1,20943
37587,1,1348036821,6,3845,8114,3,2,2,88
83165,1,1390483243,3,31,37733,0,0,-1,-2
51041,1,1362030363,1,242,21384,2,3,-1,21384
66042,1,1375177303,1,149,1005,2,0,-1,-2
62726,1,1372301517,2,89,27368,0,6,-1,-2
67206,2,1376318135,5,-1,22047,-1,1,-1,-2
3255,2,1285948476,5,-1,159,-1,2,-1,159
92105,2,1396311221,2,-1,20486,-1,0,-1,-2
111261,2,1407530430,4,-1,32036,-1,0,-1,32036
107922,1,1405332131,3,125,52072,1,0,1,26338
60772,2,1370249061,4,-1,3019,-1,0,-1,22047
73584,1,1382511066,4,127,21840,1,0,-1,-2
99586,1,1400665643,1,162,45939,2,3,-1,32036
43621,1,1352919319,0,66,16866,0,4,-1,-2
78249,2,1385914550,2,-1,27556,-1,1,-1,27556
15842,1,1316580304,2,9195,6096,1,3,3,183
87117,1,1392766850,3,132,29877,1,2,0,-2
35610,2,1346654140,7,-1,442,-1,3,-1,442
81592,1,1389156838,0,28,13702,0,0,1,13702
44921,2,1354430985,3,-1,7555,-1,0,-1,-2
37914,1,1348479674,0,51,14123,0,4,-1,930
52049,2,1363109538,1,-1,10884,-1,0,-1,-2
32767,1,1342895165,2,139,12052,1,4,-1,8507
24024,2,1330698920,16,-1,7290,-1,3,-1,7290
113203,2,1408968829,1,-1,11832,-1,1,-1,-2
95086,1,1398337316,0,30,13634,0,0,-1,-2
63235,2,1372833009,1,-1,21846,-1,0,-1,22047
95037,2,1398320011,7,-1,17230,-1,0,-1,-2
86399,1,1392214964,2,1809,26008,2,0,1,7071
96128,1,1399019975,0,30,15972,0,2,-1,-2
84129,2,1391278970,5,-1,805,-1,0,-1,805
113930,1,1409520998,0,14,54991,0,0,-1,-2
96083,1,1399000050,2,41,40740,0,0,1,-2
68225,2,1377312706,1,-1,686,-1,4,-1,-2
40620,2,1350486592,3,-1,13519,-1,0,-1,13519
49512,2,1360225027,-1,-1,20608,-1,0,-1,-2
86558,2,1392338026,2,-1,2958,-1,0,-1,-2
33784,2,1344249951,3,-1,7290,-1,4,-1,-2
50166,2,1361047498,4,-1,805,-1,3,-1,805
73602,1,1382520323,3,125,10500,1,1,-1,-2
49821,1,1360645112,2,882,11849,2,9,0,11849
64737,2,1374138874,1,-1,17230,-1,2,-1,-2
69605,1,1378735704,1,451,14589,2,0,2,805
114389,2,1409837538,2,-1,2339,-1,1,-1,-2
105085,1,1403877118,1,31,35733,1,2,-1,-2
72037,1,1381011817,1,148,31130,1,2,-1,-2
103931,1,1403106697,0,17,48623,0,0,-1,32036
80160,2,1387448932,1,-1,35099,-1,0,-1,-2
113083,2,1408889145,0,-1,40899,-1,3,-1,-2
73586,2,1382511740,1,-1,11708,-1,0,-1,-2
38983,1,1349736999,0,182,11584,0,8,-1,11584
91216,2,1395665978,2,-1,4253,-1,0,-1,-2
71789,2,1380770783,6,-1,4253,-1,3,-1,-2
111166,1,1407458370,0,51,53681,0,0,-1,53681
51549,5,1362593806,0,-1,10598,-1,0,-1,10598
96855,2,1399478822,3,-1,29137,-1,3,-1,-2
66707,2,1375812047,1,-1,5739,-1,0,-1,-2
48023,1,1358489137,8,161,9490,1,2,3,2970
87292,1,1392875248,0,35,40023,0,0,1,-2
106200,2,1404798904,2,-1,49279,-1,0,-1,49279
109195,1,1406176371,0,19,52713,0,3,-1,52713
88981,1,1394041550,2,14,41408,0,0,-1,805
78442,1,1386057756,0,42,28281,0,7,-1,-2
80395,1,1387765141,0,30,24816,0,1,-1,24816
103302,1,1402650910,1,11,45569,0,0,-1,-2
57137,2,1366813040,5,-1,919,-1,7,-1,919
8845,1,1301219178,6,184,1381,1,3,-1,1381
93327,1,1397108684,1,162,14826,1,3,1,-2
77294,2,1385041839,0,-1,6248,-1,5,-1,-2
773,2,1280207394,9,-1,447,-1,0,-1,-2
370,2,1279655335,27,-1,159,-1,2,-1,-2
44167,1,1353528312,1,105,10119,0,2,-1,7290
73033,2,1381948022,2,-1,13818,-1,1,-1,-2
105659,2,1404359997,6,-1,4253,-1,3,-1,-2
106007,2,1404662965,1,-1,49604,-1,0,-1,-2
51692,1,1362722435,0,404,21726,3,1,1,-2
28554,2,1337087260,1,-1,10630,-1,2,-1,10630
70912,2,1380000191,1,-1,12752,-1,0,-1,12752
45456,1,1354984864,3,162,17615,0,0,-1,3826
80474,5,1387847352,0,-1,26338,-1,0,-1,26338
113948,2,1409541172,2,-1,805,-1,0,-1,-2
64519,1,1373978282,1,66,3310,0,1,-1,22047
65235,2,1374545362,2,-1,27403,-1,3,-1,27403
