id,posthistorytypeid,postid,creationdate,userid
195725,3,61125,1370555229,17359
374818,2,111973,1408052033,28732
379479,5,112464,1409038624,39799
255448,6,76825,1384695315,7290
319514,2,94789,1398186358,44284
318481,16,94481,1398002198,2970
315705,4,93692,1397450470,22047
335131,1,99920,1400909706,29911
179538,5,56644,1366386128,11867
138866,2,44496,1353976824,7224
231005,2,69646,1378780050,24894
226744,8,68682,1377765150,22047
180963,1,57088,1366786354,13565
159024,3,50027,1360865906,13636
210205,5,37801,1373984485,28111
346588,2,103535,1402889726,1150
77169,5,24954,1332260191,159
301519,3,89983,1394746206,41901
300151,2,89612,1394520470,7690
302562,5,90205,1394981027,7290
164848,25,51428,1362688351,-2
242096,1,72559,1381477591,29364
369621,1,110467,1407051723,53321
377103,1,112627,1408513460,54353
165330,1,51799,1362843533,21789
51911,2,17405,1319232280,6946
78734,2,25413,1332890196,199
258024,1,77513,1385275063,25986
259636,4,77926,1385608811,34864
190962,5,59868,1369307551,8013
84649,2,27185,1335436998,10901
228782,24,69096,1378207829,-2
71003,2,23171,1329727034,9327
375054,1,112045,1408095955,30231
191181,5,59919,1369368120,17230
96534,5,28566,1340006866,4843
328564,5,97362,1399864425,28393
261883,1,78546,1386144617,31420
127703,5,40593,1350461623,0
120406,24,37785,1348276708,-2
194650,2,60833,1370315403,21030
320623,24,95020,1398350454,-2
245995,4,38962,1382513507,17230
336165,5,100198,1401176369,39618
137226,5,44021,1353388569,17023
374561,1,111901,1408010100,54101
202232,25,62634,1372248046,-2
86963,1,27908,1336308135,11138
282195,2,84151,1391311518,38383
235971,1,70950,1380022519,25335
322267,3,95588,1398701308,44626
2914,2,1324,1281017780,1356
253424,3,76307,1384216695,32546
354088,2,105608,1404321106,46522
135094,5,43403,1352695871,887
352996,5,105310,1404124915,12690
361854,1,108234,1405525876,12331
281851,4,84073,1391223646,38338
355835,3,106086,1404726894,49650
339070,2,100749,1401590515,45716
204058,1,63099,1372719504,18528
63896,2,20986,1326353863,887
37942,3,13178,1310937707,4864
321678,3,95412,1398588045,37976
123370,1,38629,1349312051,5931
158498,3,49872,1360678438,20783
119607,4,35877,1348024940,2116
107226,5,33594,1343959096,12710
193359,5,60504,1369961690,805
349363,2,104280,1403400287,36229
17296,4,6740,1296456646,930
258269,3,77572,1385321879,25370
128198,1,40739,1350620743,4253
37602,3,13070,1310671132,8101
297375,3,88872,1393989904,38012
128408,5,40747,1350696009,16078
335948,1,100135,1401136815,46211
88977,2,28499,1337016333,7448
315648,3,93682,1397439104,40023
356425,1,106254,1404830723,40036
383945,25,114529,1409985806,-2
26834,25,9797,1303294157,-2
117721,1,36319,1347618111,9791
319863,5,94874,1398238352,29021
239124,5,71782,1380772200,30917
307835,1,91599,1395920671,42657
336562,1,100324,1401125297,48094
259139,3,77812,1385512066,35374
187870,5,59027,1368535588,21054
121532,2,38107,1348721803,11030
21379,5,8051,1299637717,3567
89626,3,28675,1337239871,11384
368415,5,110124,1406779141,805
60162,2,19882,1323953198,7555
138913,1,44508,1353990121,9076
122580,4,38394,1349073816,-2
182709,5,57359,1367217290,16049
157461,2,49595,1360310275,14413
369718,1,110493,1407066407,46238
327888,1,97181,1399705138,45332
214719,24,65671,1374831084,-2
161406,2,50686,1361593970,21183
181331,5,57196,1366859356,24000
17831,38,6887,1296961276,88
195423,2,61041,1370488328,26570
263153,2,78908,1386437592,805
378202,2,112957,1408715730,44269
157202,1,49513,1360226891,2798
346701,33,102958,1402908426,46523
228569,24,69054,1378181581,-2
142066,1,45399,1354900566,14727
318985,5,94621,1398104473,24808
21699,2,8168,1299840629,3577
181012,1,57098,1366791802,20656
318091,1,94370,1397898046,44090
294479,2,88109,1393467772,31157
213171,3,65268,1374561704,28362
380927,5,113753,1409320015,41342
383383,5,114378,1409840491,9394
232230,3,69949,1379052351,22518
287856,1,86422,1392237434,23637
124655,2,38997,1349756775,14781
367071,2,109744,1406546951,52972
102407,6,14089,1342241806,4856
264110,2,79167,1386624123,35948
335260,1,99960,1400950792,40073
359590,2,107592,1405052218,51919
109127,3,34140,1344685593,10322
318145,1,94387,1397906845,7787
184004,2,57963,1367501734,3591
152439,1,48162,1358719725,12566
298439,3,89165,1394174318,29386
217566,1,66403,1375465834,28763
197189,5,61457,1370949568,21061
298153,24,89084,1394117038,-2
382935,5,114277,1409765369,805
378902,3,113138,1408934810,46050
52371,1,17549,1319561879,7056
208034,1,64060,1373532954,27909
289576,1,86858,1392616759,36540
228086,2,68970,1378100277,0
350435,24,104126,1403596275,-2
353267,1,105383,1404182253,49306
159822,5,50239,1361172089,686
350112,2,104482,1403546547,26950
169182,2,52919,1363840921,20381
305117,5,90908,1395396665,7290
245653,3,73498,1382434855,31420
250853,2,74884,1383812916,6633
261705,5,78497,1386102160,29374
128466,4,40815,1350726552,930
162934,2,51115,1362103240,21427
308093,5,91664,1395973906,42545
385563,2,115009,1410341501,53283
193125,5,60403,1369895192,12380
202425,5,62699,1372297547,17230
35933,5,12576,1309674460,919
227381,5,68828,1377909175,22047
124624,2,38986,1349744033,11584
284546,5,85514,1391588939,38206
166247,1,52064,1363134550,261
37605,2,13073,1310673597,1709
365249,24,109200,1406182619,-2
114819,3,35558,1346547500,-2
111358,2,34659,1345391230,12860
263236,4,78930,1386454649,805
242098,2,72560,1381477624,27926
144664,3,46101,1355739822,14289
184916,1,58235,1367772725,4564
377306,6,112686,1408539749,29137
212231,2,65018,1374389928,28286
217792,4,66333,1375530201,6029
343420,2,102661,1402282323,805
167522,2,52440,1363444677,22097
47652,5,16094,1317095169,6507
140909,1,45090,1354596039,17461
83335,25,26769,1334837314,-2
194653,5,60833,1370315709,21030
255679,3,76886,1384758867,27624
365677,1,109342,1406262329,52795
370238,5,110643,1407177975,805
368777,3,110225,1406838347,40215
322654,5,95683,1398769630,32036
299865,5,89422,1394458957,40926
246000,3,73589,1382513882,31841
350474,5,104502,1403602135,21054
193444,25,60528,1369980033,-2
215238,5,65760,1374959224,183
66152,2,21693,1327476817,2040
51989,5,17404,1319292342,1513
326732,5,96884,1399500504,601
107106,4,33534,1343901617,3826
158907,1,49993,1360830531,14673
162962,5,51121,1362115401,21431
145524,5,46313,1356007548,17915
209157,5,64293,1373782691,27403
295898,1,88462,1393747923,41198
311237,2,92480,1396548892,805
334394,3,99729,1400750800,10747
129760,4,41071,1351150316,919
216193,2,66025,1375169404,13634
120319,2,37759,1348221799,919
65593,4,21515,1327242659,930
129774,4,41197,1351154949,686
129836,1,41216,1351173543,16262
355863,3,106095,1404730581,49654
81232,2,26142,1333983982,7795
172216,1,54521,1364438431,23622
104756,5,32896,1343102663,12481
340765,2,101228,1401909763,41403
343377,2,102646,1402272871,40740
226191,5,40834,1377668037,805
385696,2,115056,1410366617,55574
183303,2,57765,1367341869,25087
119149,5,36197,1347872162,7071
106924,1,33519,1343838633,2750
119110,5,37386,1347860102,88
240816,5,72205,1381182858,31208
124584,2,38976,1349720991,13698
366670,2,109629,1406478722,46522
214708,34,64484,1374828073,0
336902,3,100425,1401297842,46349
296528,1,88628,1393853959,41268
197499,1,61562,1371020291,25339
102826,6,30047,1342438820,-2
134234,2,43167,1352371260,16297
205465,24,63409,1372982120,-2
208968,3,64237,1373707753,27995
6935,5,2905,1284994913,603
143747,5,45858,1355396863,7290
284607,4,85506,1391598960,29183
105465,5,33101,1343292741,5339
323012,2,95798,1398826311,44717
47432,36,16050,1316989453,0
117451,4,36240,1347522859,7290
177537,2,56054,1365887186,5339
155135,6,47885,1359574080,919
207724,3,63971,1373476438,27884
297645,3,88953,1394023682,41390
336529,5,100313,1401242099,26338
299511,3,89422,1394408786,40926
366034,3,109445,1406349630,52846
340043,5,70819,1401781493,7071
284506,3,85506,1391583293,29183
320745,3,95152,1398390747,23783
265595,2,79598,1386927600,2310
300513,2,89715,1394590775,41777
365773,24,109366,1406273925,-2
236693,5,71135,1380176443,13047
258366,5,77603,1385350587,22047
183285,2,57759,1367332847,17072
217385,1,66365,1375422904,11409
295402,6,88315,1393601268,7290
301286,3,89920,1394705660,40761
71701,2,23406,1329347417,9013
61248,2,20185,1324597396,6469
376275,2,112380,1408367198,54293
262375,5,78694,1386245321,7290
122742,1,38448,1349123820,13950
328727,5,97400,1399884146,22047
114735,2,35540,1346505435,13130
344790,2,103039,1402486061,8013
117209,4,36165,1347436081,7290
231979,3,69886,1378983561,24587
112478,2,34948,1345705699,401
65,2,27,1279538892,68
292122,1,87494,1393037833,40714
213872,3,65455,1374661630,25074
229459,3,69267,1378338803,24517
232353,5,68589,1379072324,29597
133811,2,43037,1352257526,13526
138287,2,44338,1353747147,14188
233847,2,70389,1379494489,30438
311380,3,92520,1396575056,42237
297097,24,88761,1393943772,-2
136539,2,43834,1353145816,13022
92673,2,29572,1338447096,5781
371602,5,111038,1407403165,2798
343816,2,102778,1402359207,18482
332850,2,99279,1400484280,45804
285086,2,85670,1391689044,39645
213290,2,65296,1374577011,17072
194038,5,59093,1370167688,21054
111194,2,34622,1345340679,5574
210188,2,64524,1373982495,28109
163139,25,38111,1362159026,-2
265051,2,79438,1386810011,0
125211,2,39166,1349895505,9007
266034,2,79726,1387085083,26338
121607,1,38128,1348733690,-2
93544,3,29811,1338842732,10354
140928,2,45096,1354601368,8694
215414,5,65687,1375006819,26863
299441,2,89405,1394393962,41615
383140,2,114332,1409809536,9343
9235,2,3757,1287468019,1626
68356,2,22369,1328546176,5739
355949,2,106121,1404746730,39663
155550,3,49070,1359698184,20362
251223,5,1234,1383896619,603
164047,5,51409,1362495583,930
112145,1,34863,1345621795,12476
275324,3,82304,1389728299,37326
234589,1,70591,1379661279,7421
308918,5,91863,1396130404,25259
309779,5,92087,1396297130,7290
55205,2,18395,1321321457,5919
352174,3,105100,1403894600,37743
135159,3,43421,1352710493,14500
2172,3,1016,1280412272,614
93572,5,13266,1338866072,4856
301315,2,89928,1394708293,39531
157063,3,49478,1360191569,20093
24328,3,9022,1301579307,1102
309835,2,92105,1396311221,20486
192074,2,60156,1369661988,6103
50352,2,16923,1318423602,6788
297012,3,88773,1393934058,41324
229538,2,69292,1378358640,29953
319371,1,94744,1398162931,36173
364084,1,108864,1406011654,31379
320650,2,95118,1398359431,44450
217090,3,66283,1375352425,28722
309290,5,34212,1396222540,26338
77652,1,25113,1332441219,3125
355115,1,105906,1404549527,42952
351913,5,105027,1403848664,25973
117323,1,36206,1347464788,14044
374073,5,111696,1407927165,28746
218222,1,66563,1375668017,28823
237093,5,71243,1380258429,30232
347547,1,103799,1403047231,48562
257140,2,77301,1385047812,35150
190047,2,59607,1369104911,686
332789,1,99258,1400477096,44422
222557,5,67631,1376730580,8413
137333,1,44058,1353413114,14731
311476,1,92543,1396590656,43121
89088,2,28528,1337058273,11334
61617,1,20300,1325008162,7976
294477,1,88108,1393467683,37674
238323,5,71563,1380600219,805
81705,2,26294,1334138413,10416
378298,1,112972,1408743214,37793
371279,2,110970,1407344937,25428
362878,2,108527,1405756885,52379
219317,5,66834,1375938694,21240
50248,4,16873,1318374716,88
92305,5,29449,1338313610,159
328479,2,97336,1399848884,230
170397,25,53240,1364212190,-2
274197,5,81694,1389493937,28864
128073,5,40693,1350569026,9394
302352,2,90188,1394945463,36491
345985,2,103382,1402722008,6768
334634,2,99796,1400804728,37226
106078,5,33195,1343476592,7290
150100,5,47526,1357902633,8402
120587,2,37840,1348380703,14305
233814,3,70379,1379488803,13554
135637,1,43560,1352855916,9728
386198,2,115211,1410473939,36915
11878,5,4686,1290092773,919
233435,5,70281,1379409380,30395
273705,1,81863,1389352138,8013
332839,1,99275,1400482367,45801
180236,2,56852,1366605352,24668
149587,2,47403,1357784865,18287
303005,1,90354,1395067690,37376
344981,5,103085,1402536751,28288
54752,1,18276,1321036001,1146
234190,1,70482,1379566680,29176
1584,2,734,1280184906,88
137183,5,43720,1353377940,1716
110802,4,34483,1345182743,88
188379,2,59161,1368631399,5186
4919,2,2135,1282783535,339
183477,1,57807,1367385978,22236
208457,3,64124,1373591742,5635
117462,10,36217,1347525945,919
142207,2,45444,1354972719,4208
34822,2,12259,1308772673,4253
353443,3,105437,1404204336,49217
334407,5,99619,1400751808,45961
249038,33,74042,1383374588,18493
384841,3,114796,1410217592,46199
181432,3,57226,1366870217,21186
128994,5,40749,1350897061,12626
313582,2,93119,1396985025,16049
157362,3,49563,1360271554,20629
62554,1,20593,1325686653,2728
123331,5,38564,1349286141,14434
252703,16,76106,1384048141,34595
77405,3,25047,1332347860,10033
344086,2,102852,1402386239,11127
294163,1,88025,1393412751,40350
153888,24,48576,1359183800,-2
76033,1,24668,1331736585,6692
263279,5,78917,1386468864,22047
62157,2,20464,1325460321,8076
8042,2,3313,1286192843,749
380825,1,113722,1409302195,53709
359110,5,107420,1404962031,50835
227637,5,33250,1377962139,27581
179617,2,56672,1366433132,17908
45288,5,15396,1315602158,4856
285281,2,85720,1391725520,3277
370079,1,110596,1407147540,41307
370503,5,110671,1407217802,53427
382583,2,114173,1409701125,2921
225028,5,52316,1377409475,27581
56260,3,18705,1321853671,7466
352620,5,105167,1404045918,46097
109081,3,34130,1344656961,12665
11893,2,4706,1290124250,930
373138,5,111451,1407742520,23801
98531,2,31229,1340784742,12248
137823,1,44201,1353570506,13525
284250,1,85431,1391511770,39525
138843,25,43906,1353970913,-2
354669,3,105783,1404436225,37886
175145,1,55356,1365262590,24006
121014,3,37963,1348556276,14372
250012,2,74645,1383633224,11748
234356,4,70530,1379591392,7290
301638,33,89618,1394773405,7064
185682,2,58450,1367974999,887
378125,2,112932,1408700103,31668
359769,1,107647,1405075957,42003
121598,2,38126,1348732505,1329
248131,5,74140,1383125201,7071
10005,5,4025,1288165743,8
47765,2,16144,1317141780,2958
359445,2,107550,1405013045,44269
29676,5,10579,1305098969,183
219430,3,66866,1375954671,22088
173414,2,54867,1364788721,23769
303611,1,90516,1395162734,27292
110005,12,34323,1344948066,10098
128801,24,40912,1350838383,-2
221297,2,67295,1376386048,21650
315010,2,93534,1397262013,32154
289964,5,86966,1392674895,805
352811,1,105257,1404098251,49248
333217,2,99388,1400565029,24669
267445,5,80072,1387433706,805
348681,2,104112,1403232682,48711
351912,5,104811,1403848398,264
356223,4,106190,1404799122,27403
281038,5,83832,1391031380,7290
31430,24,11236,1306309539,-2
102237,2,32237,1342161635,919
237610,2,71370,1380397393,4862
307030,36,91385,1395778704,0
268886,1,80545,1387990829,11277
350895,3,104725,1403678966,42134
164204,2,51469,1362549782,16837
383903,5,114520,1409968781,845
327481,5,97024,1399625353,32036
213342,5,65184,1374581031,7071
136525,3,43830,1353136480,16837
346109,2,103416,1402753960,48086
274724,5,82063,1389606981,7250
220955,2,67191,1376304217,25186
123218,2,38583,1349254584,686
385455,3,114977,1410328299,55526
312972,3,92952,1396893400,35526
51420,2,17243,1318954759,4751
148573,25,47094,1357502571,-2
290488,12,87104,1392758785,21423
20654,1,7839,1299138233,3527
148276,3,47049,1357397015,18256
144813,3,46145,1355772634,17931
89288,2,28584,1337114461,183
200039,5,30877,1371675216,805
235947,1,70946,1380017131,30677
308148,5,77120,1395983563,22311
240755,25,72165,1381162352,-2
184421,5,58091,1367633921,6029
269751,5,80781,1388287500,21599
313936,1,93222,1397042974,43496
382824,5,114240,1409748494,1005
326715,2,96880,1399496941,32036
187334,2,58882,1368432324,16474
378071,3,112914,1408689963,54535
172777,4,54662,1364564864,88
245136,5,73319,1382329521,31728
49839,1,16756,1318169374,6096
104020,24,32698,1342787366,-2
137674,3,44153,1353508743,17073
272328,3,81497,1389074301,26748
319662,5,94796,1398214772,28746
150156,3,47545,1357919266,18591
29561,4,10607,1305031719,930
376834,1,112545,1408468230,28345
221397,5,67323,1376395307,919
258886,1,77733,1385447701,35340
256588,5,77131,1384938800,9201
162459,6,50960,1361960282,11030
208922,1,64227,1373694518,686
91474,25,29190,1338002094,-2
233416,3,70274,1379406881,3262
325643,3,96566,1399330434,45051
165672,1,51906,1362967519,21841
214878,2,65713,1374857962,28479
321170,3,95278,1398472406,5419
131526,2,41709,1351774790,8605
356907,1,106392,1404914355,49824
142748,2,45591,1355121195,14346
184585,1,58134,1367670704,25247
99507,2,31495,1341179892,12346
135836,2,43617,1352912595,7071
161349,2,50667,1361562243,20943
179091,1,56510,1366275845,24522
281311,2,83910,1391084499,8013
2171,1,1016,1280412272,614
124742,2,39024,1349772315,14764
180154,5,56817,1366587429,14741
329393,24,97604,1400003652,-2
294208,1,88038,1393416946,9170
352439,24,105162,1403976603,-2
226567,13,68645,1377727138,27576
317778,1,94292,1397820371,9811
380585,5,113651,1409243273,7290
288132,2,86489,1392294525,36738
155394,2,49017,1359640477,11284
197665,24,61580,1371049587,-2
292357,2,87545,1393095895,0
3282,5,1443,1281333399,521
182397,2,57490,1367123471,686
73688,2,23989,1330664524,7421
301890,3,90079,1394813962,40765
368910,1,110270,1406870781,53235
205138,2,63350,1372921669,2704
339226,5,114,1401628549,32036
275265,1,82291,1389708651,29137
322446,5,95484,1398747962,28740
182169,2,57428,1367044690,24000
270437,5,80972,1388556658,30964
248961,5,74367,1383357669,14675
91441,2,29184,1337981798,7828
1114,2,527,1279804552,114
54352,5,18119,1320826207,7290
365314,16,109220,1406189626,919
219368,2,66852,1375944409,28666
243561,1,72963,1381908199,31575
134231,5,41789,1352370022,3812
175512,2,55469,1365389320,24048
287932,24,86438,1392258705,-2
107076,2,33559,1343895412,919
312902,3,92928,1396876510,43306
113295,5,35139,1346040209,930
320276,3,95003,1398304485,40010
233626,1,70332,1379450669,27145
378759,1,113097,1408898362,31542
101073,5,31901,1341807932,919
315687,33,92752,1397447842,43165
169217,1,52927,1363850767,17590
190632,5,59752,1369225518,8013
369224,2,110362,1406935494,12492
16437,25,6441,1295654145,-2
123375,4,38629,1349313275,88
348503,1,104068,1403186785,48688
148873,4,47190,1357602213,88
370770,5,110810,1407256952,22311
232703,1,70079,1379236053,26150
21239,3,8028,1299580512,-2
359191,2,107471,1404975566,46228
24334,4,9022,1301579908,1102
70610,6,23054,1329474358,449
208417,25,64102,1373576542,-2
222272,5,67453,1376626662,9162
22439,1,8399,1300309785,-2
131240,5,40715,1351678674,16066
102942,5,32322,1342482670,930
326035,2,96675,1399382517,5836
160472,2,50411,1361346082,19879
314604,5,93413,1397180951,175
267040,2,80016,1387342805,28566
140676,4,44978,1354528233,16213
286732,3,86123,1392036021,8333
75294,5,24401,1331368832,919
212437,5,65040,1374425536,805
158897,1,49991,1360828342,8089
158904,25,5268,1360829718,-2
96602,2,30707,1340033080,10849
89544,6,28642,1337209306,3277
245586,3,73478,1382425597,6720
341627,4,101454,1402050632,32036
368877,3,110261,1406861826,49034
160491,2,50418,1361332362,-2
227695,5,41905,1377999990,805
315428,5,93562,1397382244,3382
317610,4,94247,1397795870,16238
293868,24,40440,1393380742,-2
69849,2,22821,1329216685,7972
224851,2,68248,1377332338,3488
255886,1,76948,1384792426,16596
122287,2,38319,1348992259,11032
238106,5,71503,1380536669,21054
351914,5,105022,1403849340,48766
119568,2,37558,1348011522,11405
249751,3,74579,1383569681,30816
81294,3,26164,1334013493,5836
154954,6,48052,1359530421,19879
295776,2,88432,1393696127,4598
52292,5,17518,1319532591,930
3052,4,1268,1281104371,170
230739,1,69579,1378716049,11411
378945,3,113153,1408942276,31372
93392,2,29774,1338787745,2860
278054,2,83016,1390369769,8013
322792,11,95685,1398781175,919
317511,2,94212,1397767764,44016
106880,5,33467,1343820791,4701
236029,5,70943,1380040839,11408
327179,1,97004,1399582490,45249
101974,2,32166,1342073934,12560
224545,16,67961,1377240203,919
226526,4,38208,1377705420,22047
319232,2,94695,1398145337,44256
24190,5,8976,1301482035,930
324312,2,96172,1399044711,22452
268118,25,80330,1387645134,-2
355828,4,106073,1404725722,31052
310221,3,92205,1396391535,42933
129846,2,41218,1351178877,1005
323221,5,95638,1398854612,17072
62068,5,20438,1325388268,930
151685,2,47962,1358410088,1352
170240,2,53225,1364178603,21184
373412,5,111551,1407813633,30589
276421,1,82594,1389934892,32331
302735,2,90277,1395031652,31221
327413,1,97064,1399617046,13154
321573,2,95376,1398568722,686
24763,5,9093,1301908196,601
40139,25,13817,1312378648,-2
117808,5,36305,1347649462,307
235700,3,70874,1379975271,30644
213791,2,65432,1374653131,11852
319466,2,94771,1398173737,5758
282670,3,84279,1391406635,38283
55818,1,18571,1321567020,7436
299304,5,89369,1394365892,41593
284565,13,85516,1391590509,22311
120439,2,37797,1348289772,4701
7942,3,3276,1286053278,1106
193104,3,60445,1369891830,26306
242697,3,72709,1381701350,31464
123564,2,38697,1349359957,1108
259850,24,78008,1385647534,-2
310814,1,92359,1396480535,43009
291916,2,87440,1392977922,919
379428,4,113043,1409032085,22311
211444,5,64813,1374210053,27403
384825,3,114793,1410212980,13445
343680,2,102736,1402320404,11887
260214,3,78109,1385759232,28545
289239,3,86768,1392531699,12492
206869,5,63655,1373333347,27581
22999,4,8572,1300703208,88
118927,3,37383,1347767855,11355
143012,2,45662,1355202773,13010
231244,25,49562,1378807621,-2
143916,1,45912,1355467845,17834
222033,5,67500,1376557278,919
263029,2,78872,1386411868,35818
348688,1,104113,1403233012,46199
241835,1,72494,1381416890,31360
211847,3,64938,1374283511,14730
166558,2,52155,1363195033,21971
254929,5,59155,1384523192,7620
294926,6,88210,1393515380,22468
151046,2,47790,1358242601,8373
128544,24,40832,1350750437,-2
385928,3,115137,1410422466,55622
256575,2,77146,1384935776,31333
141810,25,45225,1354845716,-2
303932,25,90583,1395219511,-2
66361,2,21763,1327557977,4253
134895,3,43345,1352622006,16721
173355,2,54844,1364765564,23759
271960,6,81392,1388997595,3017
191498,5,60014,1369467397,26115
5951,2,2548,1284122929,334
332615,3,99211,1400439505,43338
12420,5,4905,1290660364,1124
89260,5,28551,1337109324,10630
140367,5,44927,1354443646,8141
139034,2,44542,1354019448,1586
40314,5,13867,1312461364,3454
204316,5,63153,1372757459,3382
306912,25,91246,1395759563,-2
370101,2,110603,1407151202,48795
291798,24,87219,1392954931,-2
293208,5,87487,1393287004,11756
7494,2,3122,1285581925,1075
195894,33,61158,1370587476,930
237668,3,71388,1380430137,30844
244144,5,73119,1382039526,30815
368281,3,110085,1406745682,51972
375774,5,112237,1408288913,805
115023,2,35601,1346643024,10017
233370,1,70261,1379400168,29787
38997,5,13470,1311627171,5392
155559,5,49072,1359702948,18128
145934,4,46436,1356170998,3826
131352,2,41656,1351719299,16433
183558,1,57830,1367397249,25111
368713,1,110203,1406815668,53064
348265,3,104001,1403154984,48652
110446,4,34424,1345085535,3826
